title,year,genres,duration,directors,actors,rating
tt2034098,2013,"Biography, Drama, History",101,nm1030914,"nm0023885, nm0168398, nm0000542, nm0001117",5.4
tt0049055,1956,"Drama, Fantasy, Musical",128,nm0454772,"nm0534286, nm0429250, nm0593192, nm0749539",6.6
tt6159268,2018,"Fantasy, Horror, Thriller",80,nm1629105,"nm1444665, nm0107183, nm0004922",4.1
tt0019777,1929,"Comedy, Musical",96,"nm0282984, nm0763798","nm2580347, nm0555688, nm0000050, nm0555617",7.0
tt0051947,1959,"Horror, Sci-Fi",71,nm0078532,"nm0871876, nm0507189, nm0363515, nm0038104",5.4
tt3526286,2015,"Crime, Drama, Horror",101,nm0836964,"nm1181086, nm0001267, nm1935905",3.0
tt0928363,2008,"Drama, Thriller",94,nm0709752,"nm0205423, nm0512455, nm1502206",4.5
tt0878814,2012,"Comedy, Romance",90,nm2406731,"nm3641002, nm0000792, nm1912766",4.4
tt0074279,1976,"Action, Comedy, Crime",93,nm4080592,"nm0001016, nm0571853, nm0357557, nm0334057",5.5
tt0463034,2006,"Comedy, Romance",110,"nm0751577, nm2349665","nm0005562, nm0005028, nm0000369",5.6
tt2128694,2012,"Action, Horror, Sci-Fi",90,nm3375413,"nm0004193, nm4448177",2.2
tt0120707,1998,Comedy,90,nm0791381,"nm0948272, nm0211726, nm0936762, nm0823507",4.6
tt0058262,1964,"Crime, Drama, Mystery",93,nm0796923,"nm0001511, nm0001141",7.1
tt0296711,2002,"Comedy, Drama, Romance",89,nm1060984,"nm0221902, nm0001218, nm0486728, nm0005195, nm0000192",5.4
tt0094298,1987,Drama,79,nm0227661,nm0000356,3.5
tt8201170,2019,"Comedy, Romance",89,nm8985653,"nm3170207, nm1404824, nm4955720",5.8
tt0057273,1963,"Sci-Fi, Thriller",74,nm0103196,"nm0830818, nm0129038, nm0729032",3.0
tt0021140,1930,"Action, Drama",77,nm0285713,"nm0533247, nm0007214, nm0531759",5.8
tt0115723,1996,"Drama, Thriller",87,nm2646041,"nm0167546, nm1313065, nm0326246",4.4
tt1832516,2012,Comedy,92,nm1238488,"nm2129075, nm4285739",2.8
tt3630782,2014,Horror,73,nm0335489,"nm4574737, nm2655646",2.2
tt0119426,1997,"Comedy, Crime, Drama",93,nm0670266,"nm0001497, nm0007115",5.0
tt0046080,1953,"Adventure, Romance, Western",99,nm0005789,"nm0000061, nm0001453",6.7
tt0079723,1979,"Drama, Romance, Sport",120,nm0367431,"nm0532298, nm0552162, nm0001703",4.3
tt3312604,2015,"Comedy, Romance",91,nm3209529,"nm0668283, nm4053303, nm1962736, nm0547273",6.3
tt0212667,2000,"Romance, Drama",85,nm0401010,"nm0330796, nm0550025, nm0823329",3.5
tt0117546,1996,Drama,103,nm0269967,"nm0193551, nm0003289, nm0268332, nm0113474",5.7
tt0072226,1974,"Crime, Drama",110,nm0000229,"nm0000443, nm6649572, nm0755310, nm0040472",6.8
tt0054095,1960,"Drama, War",102,nm0542703,"nm0000071, nm0523734, nm0179148, nm0604702",6.3
tt0097982,1989,"Horror, Sci-Fi",96,nm0176935,"nm0859921, nm0823630, nm0435250, nm0201877, nm0737553",4.9
tt0042755,1950,"Comedy, Crime, Mystery",69,nm0851537,"nm0537685, nm0926235, nm0245304, nm0456533",7.0
tt0074954,1976,"Drama, Music, Romance",91,nm0872809,"nm0310898, nm0179148, nm0205380",6.1
tt0041590,1949,"Comedy, Romance",90,nm0106505,"nm0000904, nm0213619",6.8
tt0038782,1946,"Crime, Drama, Film-Noir",87,nm0547446,"nm0706368, nm0054609, nm0404157, nm0678928",6.5
tt0081268,1980,"Comedy, Fantasy",94,nm0146062,"nm0122675, nm0687189, nm0083709, nm0521608",5.3
tt0028401,1936,"Adventure, Drama, Romance",102,nm0368871,"nm0796662, nm0534045, nm0000020, nm0831872",6.8
tt1885325,2018,"Fantasy, Thriller",95,nm1554219,"nm2394103, nm1485940, nm4312887",4.2
tt0105085,1992,"Comedy, Thriller",90,nm0845829,"nm0001599, nm0001564",6.0
tt0052849,1960,"Crime, Drama, Romance",78,nm0739987,"nm1134407, nm0575050, nm0114140",2.8
tt0462298,2007,"Drama, Horror, Sci-Fi",90,"nm1840844, nm0563687","nm0563687, nm0698998, nm1938310",3.4
tt0069890,1973,"Action, Crime, Thriller",89,nm0823630,"nm0229939, nm0143378, nm0843044, nm0267279",5.9
tt0101591,1991,"Comedy, Horror, Sci-Fi",90,nm0522218,"nm0111498, nm0310847, nm0738058, nm2365123, nm0206247",4.5
tt0044579,1952,"Drama, War",80,nm0229424,"nm0171713, nm0291821",6.6
tt0043632,1951,"Drama, Romance",72,nm0295367,"nm1909137, nm0551845, nm0402505",5.4
tt0365938,2004,Drama,90,nm0973835,"nm0001439, nm0822155",6.1
tt0026431,1935,Mystery,68,nm0448915,"nm0522926, nm0815433, nm0828668",6.0
tt0074564,1976,"Action, Crime, Drama",115,nm0000608,"nm0000608, nm0922967",5.9
tt0892041,2008,Action,105,"nm2376032, nm0669717","nm2640926, nm2101550, nm1538583",4.1
tt0038955,1946,"Drama, Family, Music",87,nm0003422,"nm0534045, nm0000879",6.7
tt0077696,1978,"Action, Comedy",99,nm0624102,"nm0000608, nm0001821",6.4
tt0084111,1982,"Biography, Drama",107,nm0389431,"nm0001049, nm0932116, nm0001848, nm0000582, nm0656183",6.3
tt0325537,2003,Comedy,95,nm0001674,"nm0001674, nm0005170",5.5
tt0339921,2003,Comedy,77,nm1272111,"nm1272111, nm1274021, nm1364903, nm1365077",5.7
tt5664502,2016,"Action, Adventure, Crime",87,nm3753363,"nm1525807, nm0424035, nm1008015",5.3
tt9602378,2019,"Comedy, Drama, Romance",80,nm0138238,"nm5434945, nm4289089, nm5553989",4.4
tt0325015,2003,"Crime, Drama, Romance",93,nm1201776,"nm0000515, nm0001685, nm0589976, nm0901926",5.1
tt5670152,2018,"Action, Crime, Drama",96,nm1938064,"nm5159424, nm0331577, nm1745736, nm0001209",6.0
tt0301777,2003,"Drama, Romance, Sci-Fi",85,nm0657062,"nm0000674, nm0756839",5.9
tt0068317,1971,"Drama, Sci-Fi",95,nm0326360,"nm0001627, nm0002095, nm0226947",6.4
tt1407049,2010,"Horror, Mystery, Sci-Fi",90,nm1543846,"nm2057726, nm1566474, nm0233079, nm2334994",4.8
tt0053355,1959,Drama,124,nm0454772,"nm0001369, nm0001739, nm0570192, nm0001647, nm1777430",6.4
tt0080130,1979,"Horror, Mystery, Thriller",97,nm0910510,"nm0001406, nm0017377, nm0034492",6.5
tt2298274,2013,"Drama, Sci-Fi",128,nm4961830,"nm3805438, nm4379719, nm5132599",2.3
tt0034277,1941,"Biography, Drama, Romance",140,nm0909825,"nm0001224, nm0000014, nm0447913, nm0335788",7.2
tt0903831,2008,Family,90,nm2454016,"nm0376200, nm1627943, nm2460796, nm2456711",4.9
tt1520498,2012,"Adventure, Family, Fantasy",88,nm0224683,"nm2932484, nm0822222",2.1
tt1196141,2010,"Comedy, Drama, Family",120,nm0294457,"nm2325393, nm2953573, nm0006713",6.2
tt0032762,1940,"Action, Adventure, Romance",94,nm0541149,"nm0000061, nm0001105, nm0001651, nm0814216, nm0657874",7.5
tt0122247,2004,"Comedy, Horror, Mystery",89,nm0806102,"nm0002006, nm0881948",5.3
tt0115591,1996,"Comedy, Drama, Romance",94,nm0000164,"nm0000164, nm0680587, nm0123632",6.0
tt0077233,1978,"Comedy, Mystery, Thriller",108,nm0434571,"nm0000377, nm0000769, nm0000889",6.3
tt0078950,1979,"Drama, Sport",121,nm0001874,"nm0000685, nm0001159, nm0005401",6.9
tt4746216,2017,"Crime, Drama",55,nm7377071,"nm4183232, nm0346595, nm0112932, nm0687625, nm7405424",8.4
tt0116442,1996,"Comedy, Drama, Music",116,nm0025978,"nm0001152, nm0101918",6.7
tt3953186,2016,"Drama, Sci-Fi, Thriller",97,nm4367428,"nm1557329, nm3453476, nm1660148",4.5
tt1024715,2008,"Comedy, Drama",92,nm0163988,"nm2659660, nm1501050, nm0122688",6.4
tt0054744,1961,"Comedy, Crime, Drama",66,nm0419265,"nm0355246, nm0656442, nm0585476",5.2
tt0087983,1984,"Comedy, Drama, Romance",90,nm0001226,"nm0001644, nm0000435, nm0573299",6.4
tt0108037,1993,"Comedy, Drama, Family",101,nm0262693,"nm0480869, nm0347509, nm0899953, nm0719606",7.8
tt0106579,1993,"Crime, Drama, Thriller",79,nm0449868,"nm0338888, nm0506202, nm0654208, nm0531778, nm0734247",7.1
tt0025455,1934,"Adventure, Crime, Romance",55,nm0102908,"nm0000078, nm0949961, nm0133021",5.2
tt0021814,1931,"Drama, Fantasy, Horror",75,"nm0115218, nm0005713","nm0000509, nm0151377, nm0543115",7.5
tt0787523,2007,Drama,124,nm0050332,"nm1974397, nm0582149, nm0004742, nm0531589",6.9
tt0380215,2004,Drama,98,"nm0004857, nm0558917","nm0005416, nm0625789",5.9
tt0034303,1941,"Comedy, Fantasy, Mystery",88,nm0215877,"nm0000951, nm0950019, nm0484808",6.9
tt0143746,1999,"Comedy, Drama, Romance",102,nm0241090,"nm0000223, nm0001173, nm0005007",5.8
tt1316064,2009,Comedy,87,nm0469785,"nm0180181, nm3219922, nm1235286",5.8
tt0049456,1956,"Biography, Drama",122,"nm0591486, nm0002030","nm0235143, nm0000063, nm0232019, nm0114386, nm0806041",7.4
tt0055464,1961,Drama,113,nm0307246,"nm0004647, nm0576127, nm0242972",6.7
tt0065054,1969,"Comedy, Drama, Music",149,nm0002080,"nm0000511, nm0533979, nm0001544",7.0
tt0042428,1950,"Drama, Film-Noir",99,nm0733476,"nm0000763, nm0335048, nm0262896, nm0445291",6.4
tt5580536,2017,"Action, Crime, Thriller",97,nm1921345,"nm0000115, nm0000131, nm0004978, nm0000628",4.0
tt0068456,1972,"Comedy, Crime, Horror",95,nm0268468,"nm0001547, nm0002095, nm0030516, nm0665838",5.6
tt0039936,1947,Western,61,nm0002179,"nm0101956, nm0167395, nm0112203",7.0
tt0217505,2002,"Crime, Drama",167,nm0000217,"nm0000138, nm0000358, nm0000139",7.5
tt0120913,2000,"Animation, Action, Adventure",94,"nm0089940, nm0325778","nm0000106, nm0108028",6.6
tt0021966,1931,"Action, Adventure, Western",53,nm0191899,"nm0639563, nm0251755, nm0478996, nm0000007",5.5
tt1232779,2008,Comedy,80,"nm3010957, nm2114883","nm3010160, nm3010419, nm3010957, nm1579859",5.6
tt2971990,2013,"Adventure, Comedy",81,nm2112342,"nm6107356, nm3707816, nm2400443",6.2
tt0033319,1941,"Comedy, Romance",88,nm0045800,"nm0643353, nm0604605, nm0000028",5.9
tt10260534,2019,Thriller,87,nm0791140,"nm1248373, nm3531655, nm8841952",4.7
tt1587436,2013,"Action, Drama, Thriller",120,nm2052013,"nm0780893, nm0001679, nm0001744, nm0661651",4.4
tt0081974,1981,"Drama, Romance, Thriller",116,nm0001628,"nm0000056, nm0000398, nm0000837, nm0227039",6.9
tt0090356,1985,Drama,86,nm8678637,"nm0564304, nm0703710",3.8
tt0062369,1967,Comedy,94,nm0002137,"nm0908919, nm0413271, nm0228336, nm0363157",6.0
tt0057984,1965,Horror,77,nm0794843,"nm0355186, nm0696866, nm0200195",3.1
tt0439566,2006,Thriller,95,nm0517572,"nm0005089, nm0401945",5.0
tt0450405,2009,"Action, Adventure, Fantasy",119,nm0919369,"nm0000604, nm1242688, nm1491631, nm0148964",5.8
tt1987681,2013,"Drama, Fantasy, Romance",95,nm1828040,"nm1674912, nm2319913, nm0004857",6.5
tt0108000,1993,"Drama, Romance",114,nm0638033,"nm0000171, nm0276062, nm0593841, nm0212695",7.0
tt0033342,1941,"Comedy, Romance",101,nm0782707,"nm0832011, nm0001682, nm0390189",6.8
tt1510983,2012,"Mystery, Thriller, Western",109,"nm1365652, nm0998581","nm1587166, nm1290102",5.2
tt0037077,1943,"Comedy, Romance, War",98,nm0002545,"nm0102787, nm0002149",7.6
tt2378507,2017,"Biography, Drama",127,nm2308774,"nm0488953, nm0000437, nm0915208",7.1
tt0910868,2007,"Action, Sci-Fi",90,nm0935288,"nm0001028, nm0005490, nm0421709, nm1929533",3.3
tt0042279,1950,"Action, Adventure, Drama",104,nm0005789,"nm0000042, nm0293530, nm0001948",6.7
tt0431213,2005,"Adventure, Comedy, Drama",100,nm0836430,"nm0000564, nm0608090",6.7
tt0150377,1999,"Crime, Drama, Mystery",105,nm0000915,"nm0000169, nm0000171, nm0918573, nm0106319",6.5
tt2581480,2016,"Drama, Horror, Thriller",93,nm1558500,"nm4721563, nm2342494, nm3744647, nm5154993",3.0
tt4768160,2019,Comedy,90,nm3754584,"nm1101904, nm1196754, nm1635248",5.8
tt0451164,2006,"Horror, Thriller",91,nm1847765,nm0001424,4.5
tt1130765,2007,"Comedy, Drama",90,nm2389781,"nm2820751, nm2268072, nm2821130",6.9
tt0020499,1929,"Crime, Drama, Film-Noir",85,nm0903049,"nm0051628, nm0942039, nm0035159, nm0551222",6.6
tt0041687,1949,"Comedy, Musical, Romance",95,nm0125636,"nm0930565, nm0804026, nm0001544",6.5
tt0023266,1932,"Comedy, Drama",73,nm0562845,"nm0706368, nm0191870, nm0317224",6.8
tt3111864,2014,"Drama, Thriller",90,nm2670525,"nm2414878, nm6286128, nm5633569, nm6749590, nm2257022",4.6
tt0073703,1975,"Drama, Music",100,nm0724249,"nm0000172, nm0625343, nm0098227",6.1
tt0020702,1930,"Crime, Drama, War",82,nm0285713,"nm0522926, nm0654102, nm0364203",5.4
tt2139869,2018,"Comedy, Drama",72,nm2679594,"nm1443644, nm0117365, nm0292066",4.1
tt0093347,1987,"Crime, Drama, Romance",94,nm0004488,"nm0000977, nm0000662, nm0737257",5.4
tt0918927,2008,"Drama, Mystery",104,nm0788234,"nm0000658, nm0000450, nm0010736, nm0205626, nm0238541",7.5
tt1210039,2010,Drama,128,nm0835732,"nm3014840, nm2480636",6.6
tt0379266,2004,Comedy,83,nm0759410,"nm0090640, nm0270332, nm0005060",5.7
tt0044380,1952,"Adventure, History",81,nm0020765,"nm0664273, nm0000058, nm2089641",6.0
tt0024302,1933,"Drama, Romance",75,nm0097648,"nm0000075, nm0949835, nm0708081",7.2
tt1526610,2010,"Comedy, Romance",82,nm3241561,"nm3241561, nm3340508",6.6
tt0423783,2007,"Romance, Sci-Fi",83,nm0311355,"nm1101485, nm1336973, nm1393403, nm1600768, nm1717682",6.4
tt0056096,1963,"Drama, Romance",105,nm0663577,"nm0781029, nm0048939, nm0286577",6.7
tt4497978,2017,Comedy,83,"nm7166640, nm7166641","nm6436354, nm6897413",5.5
tt0448989,2005,"Comedy, Romance",94,nm1860624,"nm0151827, nm0005246, nm0628877",5.7
tt0200530,2000,"Comedy, Drama",96,nm0037708,"nm0925234, nm0919363, nm0648913",6.5
tt2078718,2016,"Crime, Horror, Mystery",91,nm1618225,"nm0593664, nm0001291, nm0568400",5.3
tt0078358,1979,"Comedy, Drama, Family",107,nm0581303,"nm0001346, nm0516049",6.2
tt5542878,2016,Thriller,86,nm2244594,"nm7540407, nm2641371, nm3688903, nm5175531",3.8
tt0036872,1944,"Comedy, Drama, Music",126,nm0564970,"nm0001078, nm0280178, nm0570451, nm4065767",7.0
tt1230204,2010,"Animation, Adventure, Family",88,"nm0823721, nm0562775","nm1337936, nm0000893",6.1
tt0022685,1932,Drama,70,nm0002030,"nm0000858, nm0000992, nm0543115",6.5
tt2039412,2017,"Drama, Mystery, Thriller",110,nm1871594,"nm0257969, nm0001731, nm0899681",4.3
tt0040068,1948,"Comedy, Fantasy, Horror",83,"nm0059106, nm0487237","nm0007941, nm0182579, nm0001033",7.4
tt0035007,1942,"Comedy, Drama, Horror",61,nm0507390,"nm0580916, nm0041172",5.2
tt0116259,1996,"Crime, Drama, Mystery",118,nm0000776,"nm0000424, nm0000432, nm0000572",6.2
tt0111079,1994,Adventure,98,nm0357816,"nm0000929, nm0771715, nm0001397",4.6
tt0120032,1997,Comedy,92,nm0592400,"nm0000227, nm0001435, nm0000413",6.2
tt0095851,1988,"Horror, Thriller",90,nm0506619,"nm0001730, nm0911700",4.5
tt0488997,2005,"Action, Crime, Drama",90,nm0078868,"nm0001540, nm1002598, nm0001025",1.9
tt1152850,2008,Drama,80,nm0716980,"nm0931329, nm3086405, nm2993565, nm2993136, nm0646165",7.1
tt3793648,2015,"Drama, Mystery, Thriller",88,nm0779011,"nm0005067, nm2215967, nm0088298",4.5
tt6499752,2018,"Action, Sci-Fi, Thriller",100,nm1191481,"nm1334869, nm2177933, nm2114889",7.5
tt0112791,1995,Drama,96,nm0881306,"nm0005234, nm0000929, nm0396129, nm0488253",6.1
tt0056138,1962,"Drama, Musical, Sport",95,nm0439597,"nm0000062, nm0949574, nm0017030",6.2
tt4532818,2016,Drama,105,nm0339245,"nm0629855, nm1686317, nm0553269",6.5
tt0146838,1999,"Drama, Sport",162,nm0832089,"nm0000199, nm0000139, nm0000598",6.9
tt4007068,2015,"Animation, Horror, Mystery",105,nm3004893,"nm2805638, nm1761677, nm1922788, nm2346983",5.4
tt0108260,1993,"Drama, Thriller",96,"nm0569166, nm0796915","nm0371660, nm0004995",6.6
tt0165846,1999,"Romance, Comedy",88,"nm0095410, nm0443803","nm0005561, nm0539651, nm0004870",5.1
tt1648208,2013,"Crime, Drama, Mystery",100,"nm1458804, nm3907719","nm0363699, nm0000174, nm1401531",4.1
tt0758752,2010,"Comedy, Drama, Romance",112,nm0001880,"nm0350453, nm0004266, nm0001624",6.7
tt0094255,1987,Drama,95,nm0382080,"nm0001277, nm0830712, nm0906640, nm0421087",4.8
tt0286179,2002,"Drama, Romance",141,nm0000626,"nm0506902, nm0454419, nm0235004",6.7
tt2571966,2013,"Drama, Family",75,nm2780604,"nm0000838, nm2185445, nm0247579",4.0
tt7311036,2019,Drama,90,nm2109956,nm0907427,5.1
tt0052289,1958,Horror,69,nm0184648,nm0722000,3.8
tt2179136,2014,"Action, Biography, Drama",133,nm0000142,"nm0177896, nm0973177, nm6518675, nm0731826, nm0898779",7.3
tt1078583,2010,"Action, Crime, Drama",105,nm0354613,"nm1310016, nm0129160, nm0150330, nm0427389",5.9
tt7165212,2018,Crime,86,nm0006395,"nm0898597, nm0363699, nm1146857, nm3819588, nm0681893",3.9
tt0120797,1999,"Comedy, Drama, Romance",124,nm0001565,"nm0000131, nm0000671, nm0000949",6.0
tt3289728,2015,"Drama, Romance, Sci-Fi",101,nm2035886,"nm0396558, nm0520224, nm0493013, nm3338354, nm0829576",6.1
tt0055841,1962,"Drama, Romance",125,nm0002030,"nm0956544, nm0001859, nm0000404, nm0001954, nm0424318",5.6
tt0056675,1962,"Drama, War",83,nm0761522,"nm0768334, nm0014493, nm0001628",6.3
tt3505812,2014,"Action, Drama, Fantasy",112,nm0754817,"nm0924684, nm0219835, nm5167893",5.6
tt0028527,1936,"Comedy, Romance",68,nm0355284,"nm0706368, nm0182537, nm0526946",6.6
tt0286855,2002,"Comedy, Romance",102,nm0026879,"nm0026879, nm0028191, nm0044859, nm0091286",6.6
tt0102357,1991,"Comedy, Drama, Romance",87,nm0065471,"nm0001646, nm0286033, nm0132259",6.1
tt1193622,2009,Horror,85,nm2011022,"nm1586862, nm2133743, nm3046890, nm2820689",4.4
tt0046885,1954,"Crime, Drama, Film-Noir",82,nm0828603,"nm0828603, nm0405054, nm0392945",6.5
tt0113092,2000,"Action, Adventure, Drama",100,"nm3971298, nm0003644","nm0001002, nm0001299, nm0923529",3.5
tt0046353,1953,"Crime, Drama, Film-Noir",85,nm0694090,"nm0573640, nm0807252, nm0012443, nm0027882",6.9
tt1274589,2009,Comedy,105,"nm0101453, nm3097138","nm0101453, nm0801051, nm0180984",6.3
